channel,band,n_day,n_night,t_stat,p_value,effect_g,power,mean_day,mean_night,q_value,significant_fdr
30,gamma,17,14,0.4486754619854555,0.6572959833093672,0.15845499902477905,0.07090589513334593,0.15559903985260815,0.1342404008140026,0.8750122322373034,False
31,delta,17,14,-0.5139095586377691,0.6124976914940741,-0.18402846158082653,0.07830334325064477,12.539969387543566,21.030498510264266,0.8749562550485162,False
31,theta,17,14,-0.3305056421107275,0.743627195175864,-0.11681181331239007,0.06130303870332957,4.9211002670471675,6.813607936641749,0.9254560790776497,False
31,alpha,17,14,-0.04325525667105569,0.9657947741690491,-0.01503618348224161,0.05018607619408778,1.1214212792078866,1.1644089489273564,0.9855584198477346,False
31,beta,17,14,0.7548201341922464,0.4565806008321547,0.26088820798920825,0.10761110306713784,0.2383482258032535,0.17897314279310825,0.8281356142478539,False
31,gamma,17,14,2.5020275256373568,0.02230673438263424,0.8398974765319941,0.613994356079976,0.2264215689531823,0.0774612304864213,0.7733781459740232,False
32,delta,17,14,-0.9620362791605083,0.3533726342999187,-0.3538944486257514,0.15768284967004315,0.3109690585645328,1.0254874358143893,0.8184733809152529,False
32,theta,17,14,-0.6772866573704942,0.5092425736328361,-0.24830753504868527,0.10207507366806139,0.18685977971299805,0.26491169740927206,0.8281356142478539,False
32,alpha,17,14,1.6945835878462976,0.1008709156010692,0.5902840233589769,0.35273718397932535,0.1413080465228755,0.10683448765369294,0.7733781459740232,False
32,beta,17,14,1.4855205609040296,0.15090225747868363,0.50514390237358,0.27256258171428643,0.11667392409143114,0.08295773363296746,0.7733781459740232,False
32,gamma,17,14,2.1343767920907997,0.04806615498799457,0.71409885267628,0.4813127560178773,0.14731365086761375,0.043500062830410316,0.7733781459740232,False
33,delta,17,14,-1.1567174525946482,0.2677896227055581,-0.42532796864503547,0.20700797794321793,0.27066142625167605,0.5563292639734813,0.8184733809152529,False
33,theta,17,14,-0.366704661178932,0.7189719540070317,-0.1339822310564694,0.06489954265722521,0.1921906377003568,0.2120205144277832,0.9132103448073186,False
33,alpha,17,14,2.039664908722214,0.050689549017290676,0.7064812297856463,0.4731957396319895,0.1579593863547865,0.11580163761648633,0.7733781459740232,False
33,beta,17,14,0.9833474471630056,0.33462064995524754,0.3365610509607225,0.1471262892474059,0.10701089745226307,0.0856398215970638,0.8184733809152529,False
33,gamma,17,14,1.9706925535306592,0.059666633971630356,0.674374577012493,0.43914930221950066,0.058068941024475074,0.03813353541245501,0.7733781459740232,False
34,delta,17,14,-0.86067110657516,0.4044905393121261,-0.3162299076098221,0.13545848414507308,0.2703630932982144,0.4407585603570636,0.8281356142478539,False
34,theta,17,14,-0.4831087965716219,0.6360793092257466,-0.1766059843960362,0.07603724364623843,0.1942171317173255,0.2246102738198745,0.8749562550485162,False
34,alpha,17,14,0.9710754628045052,0.3396905039504192,0.335846687250011,0.14670323284122377,0.16192082508119632,0.13726256605651213,0.8184733809152529,False
34,beta,17,14,0.6218088739097395,0.5400296670646849,0.21167941057239395,0.08761172011236072,0.10925007275367428,0.09392593075126306,0.8281356142478539,False
34,gamma,17,14,1.1977919691208114,0.24298147676647228,0.4075790089738599,0.19389250395743785,0.057765435737643714,0.04567942682839401,0.8027148725641158,False
35,delta,17,14,0.775699723113631,0.4461739811600436,0.2630641162315098,0.10859829145182699,0.7848876114081808,0.5316665640262016,0.8281356142478539,False
35,theta,17,14,1.0252654784464654,0.3162709698823698,0.3478577715630535,0.15394286576369698,0.35388103139662824,0.2460950873111317,0.8184733809152529,False
35,alpha,17,14,1.5391553728036511,0.1348510199581153,0.5319860950508567,0.2968239120241346,0.1790815634802955,0.1318057931287811,0.7733781459740232,False
35,beta,17,14,1.1218193817038704,0.27391182622644383,0.38062524295664046,0.17505403240417458,0.12268058549324153,0.09305112248573158,0.8184733809152529,False
35,gamma,17,14,2.091547519865183,0.05193100043370316,0.7003048723667015,0.4666226905261348,0.15481418864198182,0.0572790594552094,0.7733781459740232,False
36,delta,17,14,0.597601096827083,0.5549862629617532,0.20579132998291713,0.08551440277180683,0.5598335316358465,0.47429962639952755,0.8285339944689681,False
36,theta,17,14,1.1217880892782666,0.2713377488721308,0.3931546698853471,0.18364753212579565,0.30352942406478567,0.24796955006304314,0.8184733809152529,False
36,alpha,17,14,1.584723051597638,0.12493268717146694,0.5435903349881368,0.30762015755761263,0.17919993322584635,0.14009690866645827,0.7733781459740232,False
